Date range: 01/24/2025 - 03/27/2025,Diag version: v4.0.11.6-RC03,Cycle count 1,,Cycle count 2,,Cycle count 3,,Cycle count 4,,Cycle count 5,
pcierrors-high-replay_timer_timeout-rate,"PCIe serial number: 9MC6912O40006, location: 0000:c0:01.1, devpath: /phys/CPU1:device:nbio1.0:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE6 to PE7,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-replay_timer_timeout-rate,"PCIe serial number: PDFQMB244300424, location: 0000:e1:00.0, devpath: /phys/PE7/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE7 to PE6,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
Dump lpcsnoop service log at initial boot Failed,Send command 'journalctl -u lpcsnoop.service > /tmp/lpcsnoop_post_codes.txt' failed.,Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,1. Validate with TE/FAE,Debug 2,1. Validate with TE/FAE
cSSD infos validation failure,Component cSSD SN: DSAKFV243905145 not found on unit,Repair 1,"1. Verify cSSD SN matches physically with SFC
1.1 If it matches, reseat cSSD
1.2 If it doesn't match, replace cSSD SN in SFC",Repair 1,1. Replace cSSD,Debug 1,"1. Visual inspection on cSSD slot on mobo
2. Try new/golden cSSD
3. Confirm mobo replacement",Debug 2,"1. Visual inspection on cSSD slot on mobo
2. Try new/golden cSSD
3. Confirm mobo replacement",Debug 2,"1. Visual inspection on cSSD slot on mobo
2. Try new/golden cSSD
3. Confirm mobo replacement"
Caught OSError exception.,Traceback (most recent call last):,Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,1. Validate with TE/FAE,Debug 2,1. Validate with TE/FAE
io adapter location validation failure,"Component io adapter SN 2468056-1 24510AK0K location: PE1, expected location: PE0",,,,,,,,,,
excessive-uncorrectable-core-cpu-errors,"CPU0 CORE, Error type: uncorrectable-cpu-errors, Rate 138.00 > Threshold 0.00 count/minute.",Repair 2,1. Replace mobo,Debug 1,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo"
excessive-uncorrectable-core-cpu-errors,"CPU1 CORE, Error type: uncorrectable-cpu-errors, Rate 138.00 > Threshold 0.00 count/minute.",Repair 2,1. Replace mobo,Debug 1,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo"
test-completion-missing-error-dna,Diag execution failed.,Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Discard unit is rebooting unexpectedly, if that is the case isolate for bad dimm",Debug 2,"1. If unit keeps rebooting after dimm isolation process, confirm mobo replacement"
host-boot-issue-transaction-timeout,Found string 'Transaction timed-out' in console output,Repair 2,"1. Look for “Transaction timed-out” string on debug log to identify PCIe port having issues.
2. Swap PCIe cable",Repair 2,"1. Look for “Transaction timed-out” string on debug log to identify PCIe port having issues.
1.1 If failure is following PCIe cable, then replace PCIe cable.
1.2 If failure is following NIC card (same port failing), then replace NIC card",Debug 1,"1. Validate previous repair actions
2. Validate unit on a different slot.
3. Try new/golden PCIe cable and NIC card to isolate for bad part. Replace bad part",Debug 2,"1. Validate previous repair actions
2. Validate unit on a different slot.
3. Try new/golden PCIe cable and NIC card to isolate for bad part. Replace bad part.
4. Confirm mobo replacement",Debug 2,"1. Validate previous repair actions
2. Validate unit on a different slot.
3. Try new/golden PCIe cable and NIC card to isolate for bad part. Replace bad part.
4. Confirm mobo replacement"
gSSD location validation failure,Component gSSD SN: KW049419-96402 43916193 not found on unit,,,,,,,,,,
USB Over Pcie Test failed,"usb_pcie_count Expected: 1, Current: 2, device_id: , unit:",,,,,,,,,,
USB Over Pcie Test failed,"usb_pcie_count Expected: 4, Current: 2, device_id: , unit:",,,,,,,,,,
USB Over Pcie Test failed,"usb_pcie_count Expected: 4, Current: 3, device_id: , unit:",,,,,,,,,,
USB Over Pcie Test failed,"usb_pcie_count Expected: 4, Current: 5, device_id: , unit:",,,,,,,,,,
The network count of Config_check_HW is not matched.,"Total number of network interfaces Expected: 1, Current: 4, device_id: , unit:",Retest,1. Retest,Debug 1,1. Verify unit has correct GPN label,Repair 2,"1. Reseat agora
2. Reseat all PCIe cables
3. Reseat NIC cards",Debug 2,"1. Try new/golden agora
2. Isolate for bad NIC card/PCIe cable",Debug 2,"1. Try new/golden agora
2. Isolate for bad NIC card/PCIe cable
3. Confirm mobo replacement"
SMBus Test fail,Fail to execute command:/bin/ls /sys/bus/i2c/devices/46-0055/eeprom,,,,,,,,,,
Diorite firmware check on usb_loc '1-1.7.2' Failed,Send command 'htool --usb_loc 1-1.7.2 target reset on' failed.,Repair 2,"1. Verify PCIe PE7 cable seating.
2. Swap PE7 to PE6 NIC card, reseat PE7 cable",Debug 1,"1. Verify previous repair action
2. Failure following NIC card, replace NIC.
3. Failure staying on same slot, replace PCIe cable",Debug 2,"1. Verify previous repair action
2. Try new/golden agora, try new/golden PCIe cable
3. Try new/golden NIC card
4. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try new/golden agora, try new/golden PCIe cable
3. Try new/golden NIC card
4. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try new/golden agora, try new/golden PCIe cable
3. Try new/golden NIC card
4. Confirm mobo issue"
Diorite firmware check on usb_loc '1-1.7.2' Failed,"Send command 'htool --usb_loc 1-1.7.2 spi read --start 0x03e7009f --length 15 /dev/stdout | hexdump -C' failed.
Failure Info:
Exception message: [Errno 104] Connection reset by peer",Retest,1. Retest,Retest,1. Retest,Repair 2,"1. Verify PCIe PE7 cable seating.
2. Swap PE7 to PE6 NIC card, reseat PE7 cable",Debug 1,"1. Verify previous repair action
2. Failure following NIC card, replace NIC.
3. Failure staying on same slot, replace PCIe cable",Debug 2,"1. Verify previous repair action
2. Try new/golden agora, try new/golden PCIe cable
3. Try new/golden NIC card
4. Confirm mobo issue"
pcierrors-high-bad_tlp-rate,"PCIe serial number: PDFQMB244502337, location: 0000:01:00.0, devpath: /phys/PE0/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE0 to PE1,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_tlp-rate,"PCIe serial number: PDFCTH242301197, location: 0000:21:00.0, devpath: /phys/PE1/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE1 to PE0,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_tlp-rate,"PCIe serial number: RC164-2293 244517684, location: 0000:41:00.0, devpath: /phys/PE2/IO0:device:0000_41_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE2 to PE3,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_tlp-rate,"PCIe serial number: 9ADK332Q40030, location: 0000:60:01.1, devpath: /phys/CPU0:device:nbio1.1:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE3 to PE2,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_tlp-rate,"PCIe serial number: 2468056-1 244775946, location: 0000:81:00.0, devpath: /phys/PE4/IO0:device:0000_81_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE4 to PE5,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_tlp-rate,"PCIe serial number: 2468056-1 244805404, location: 0000:a1:00.0, devpath: /phys/PE5/IO0:device:0000_a1_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE5 to PE4,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_tlp-rate,"PCIe serial number: 9MC6912O40006, location: 0000:c0:01.1, devpath: /phys/CPU1:device:nbio1.0:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE6 to PE7,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_tlp-rate,"PCIe serial number: PDFQMB244300424, location: 0000:e1:00.0, devpath: /phys/PE7/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE7 to PE6,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
fan_speed-slow-fan,ASTORIA_8038 fan /phys/FAN0%%/phys/FAN0%% reported 1 measurements at 100% duty cycle: actual violations: 1 > maximum violations: 0,,,,,,,,,,
fan_speed-slow-fan,ASTORIA_8038 fan /phys/FAN1%%/phys/FAN1%% reported 1 measurements at 100% duty cycle: actual violations: 1 > maximum violations: 0,,,,,,,,,,
fan_speed-slow-fan,ASTORIA_8038 fan /phys/FAN2%%/phys/FAN2%% reported 1 measurements at 20% duty cycle: actual violations: 1 > maximum violations: 0,,,,,,,,,,
fan_speed-slow-fan,ASTORIA_8038 fan /phys/FAN3%%/phys/FAN3%% reported 1 measurements at 50% duty cycle: actual violations: 1 > maximum violations: 0,,,,,,,,,,
fan_speed-slow-fan,ASTORIA_4028 fan /phys/BIGGULP:device:fan0%%/phys/BIGGULP:device:fan0%% reported 1 measurements at 100% duty cycle: actual violations: 1 > maximum violations: 0,,,,,,,,,,
fan_speed-slow-fan,ASTORIA_4028 fan /phys/BIGGULP:device:fan1%%/phys/BIGGULP:device:fan1%% reported 1 measurements at 100% duty cycle: actual violations: 1 > maximum violations: 0,,,,,,,,,,
excessive-uncorrectable-unclassified-cpu-errors,"CPU0 UNCLASSIFIED, Error type: uncorrectable-cpu-errors, Rate 0.20 > Threshold 0.00 count/minute.",Repair 2,1. Replace mobo,Debug 1,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo"
excessive-uncorrectable-unclassified-cpu-errors,"CPU1 UNCLASSIFIED, Error type: uncorrectable-cpu-errors, Rate 0.20 > Threshold 0.00 count/minute.",Repair 2,1. Replace mobo,Debug 1,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo"
validation-error,Validation failed on sda: expected b'\xe8\xcf\x0c&X\x16su\xbd\,,,,,,,,,,
Upload IO adapter installation point Failed,Uploading installation point to SFC failed.,Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,1. Validate with TE/FAE,Debug 2,1. Validate with TE/FAE
fan_speed-fast-fan,ASTORIA_8038 fan /phys/FAN0%%/phys/FAN0%% reported 1 measurements at 50% duty cycle: actual violations: 1 > maximum violations: 0,,,,,,,,,,
fan_speed-fast-fan,ASTORIA_8038 fan /phys/FAN1%%/phys/FAN1%% reported 1 measurements at 50% duty cycle: actual violations: 1 > maximum violations: 0,,,,,,,,,,
fan_speed-fast-fan,ASTORIA_8038 fan /phys/FAN2%%/phys/FAN2%% reported 1 measurements at 50% duty cycle: actual violations: 1 > maximum violations: 0,,,,,,,,,,
fan_speed-fast-fan,ASTORIA_8038 fan /phys/FAN3%%/phys/FAN3%% reported 1 measurements at 50% duty cycle: actual violations: 1 > maximum violations: 0,,,,,,,,,,
fan_speed-fast-fan,ASTORIA_4028 fan /phys/BIGGULP:device:fan0%%/phys/BIGGULP:device:fan0%% reported 1 measurements at 70% duty cycle: actual violations: 1 > maximum violations: 0,,,,,,,,,,
fan_speed-fast-fan,ASTORIA_4028 fan /phys/BIGGULP:device:fan1%%/phys/BIGGULP:device:fan1%% reported 1 measurements at 100% duty cycle: actual violations: 1 > maximum violations: 0,,,,,,,,,,
Send command fail: /usr/bin/ipmitool sdr elist | grep fan,"Exception message: 
Traceback (most recent call last):",,,,,,,,,,
error-monitor-procedural-error,Test failed: INTERNAL: One of the monitors failed,Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Discard unit is rebooting unexpectedly, if that is the case isolate for bad dimm",Debug 2,"1. If unit keeps rebooting after dimm isolation process, confirm mobo replacement"
unknown-dimm-errors,Dimm identifier is not found.,,,,,,,,,,
Diorite Sanity Check - FRU Failed,,,,,,,,,,,
Check WH RZ Sensor Fail!,Send command fail: /usr/local/bin/gsys -k sensor list | grep -E 'warthog_|razorback_' - info,,,,,,,,,,
test-completion-missing-error-biosintegrity,Diag execution failed.,,,,,,,,,,
sensor-monitor-no-sensor-readings,Sensor 'CPU1 VIO T' has no readings,,,,,,,,,,
sensor-monitor-no-sensor-readings,Sensor 'MB OUTLET T 3' has no readings,,,,,,,,,,
sensor-monitor-no-sensor-readings,Sensor 'DIMM18 T' has no readings,,,,,,,,,,
sensor-monitor-no-sensor-readings,Sensor 'Habanero16_4' has no readings,,,,,,,,,,
sat-bad-cpu-mce,"Bad CPU socket 0: cpu-254 has errors 1, which exceed threshold 0;cpu-62 has errors 1, which exceed threshold 0",,,,,,,,,,
sat-bad-cpu-mce,"Bad CPU socket 1: cpu-85 has errors 1, which exceed threshold 0;cpu-21 has errors 1, which exceed threshold 0",,,,,,,,,,
pcierrors-high-header_log_overflow-rate,"PCIe serial number: PDFQMB244502337, location: 0000:01:00.0, devpath: /phys/PE0/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE0 to PE1,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-header_log_overflow-rate,"PCIe serial number: PDFCTH242301197, location: 0000:21:00.0, devpath: /phys/PE1/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE1 to PE0,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-header_log_overflow-rate,"PCIe serial number: RC164-2293 244517684, location: 0000:41:00.0, devpath: /phys/PE2/IO0:device:0000_41_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE2 to PE3,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-header_log_overflow-rate,"PCIe serial number: 9ADK332Q40030, location: 0000:60:01.1, devpath: /phys/CPU0:device:nbio1.1:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE3 to PE2,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-header_log_overflow-rate,"PCIe serial number: 2468056-1 244775946, location: 0000:81:00.0, devpath: /phys/PE4/IO0:device:0000_81_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE4 to PE5,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-header_log_overflow-rate,"PCIe serial number: 2468056-1 244805404, location: 0000:a1:00.0, devpath: /phys/PE5/IO0:device:0000_a1_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE5 to PE4,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-header_log_overflow-rate,"PCIe serial number: 9MC6912O40006, location: 0000:c0:01.1, devpath: /phys/CPU1:device:nbio1.0:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE6 to PE7,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-header_log_overflow-rate,"PCIe serial number: PDFQMB244300424, location: 0000:e1:00.0, devpath: /phys/PE7/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE7 to PE6,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
type-error-exception,,,,,,,,,,,
test-completion-missing-error-ncsi_cable,Diag execution failed.,,,,,,,,,,
send_cmd_failure-exception,"Caught send_cmd_failure exception.
Traceback (most recent call last):",,,,,,,,,,
gsysd down,"Validating gsysd status for 10 times, but seems still down.",,,,,,,,,,
PWM_TACH Test Step0 Fail !,"Send command fail: /usr/bin/ipmitool sdr elist | grep fan - Exception message: Timeout opening channel.
Traceback (most recent call last):",Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Discard unit is rebooting unexpectedly, if that is the case isolate for bad dimm
2. Try new/golden agora",Debug 2,"1. If unit keeps rebooting after dimm isolation process, confirm mobo replacement"
pcierrors-high-data_link_protocol_error-rate,"PCIe serial number: PDFQMB244502337, location: 0000:01:00.0, devpath: /phys/PE0/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE0 to PE1,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-data_link_protocol_error-rate,"PCIe serial number: PDFCTH242301197, location: 0000:21:00.0, devpath: /phys/PE1/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE1 to PE0,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-data_link_protocol_error-rate,"PCIe serial number: RC164-2293 244517684, location: 0000:41:00.0, devpath: /phys/PE2/IO0:device:0000_41_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE2 to PE3,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
